original_station_name,original_station_query_name,lat,lon,formatted,name,housenumber,street,postcode,district,suburb,city,county,state,state_code,country,country_code,confidence,attribution,attribution_license,attribution_url
Harlem-Lake,Harlem-Lake Station Chicago,41.8868675,-87.8040124,"Harlem/Lake, 1 South Harlem Avenue, Forest Park, IL 60130, United States of America",Harlem/Lake,1,South Harlem Avenue,60130,Oak Park Township,,Forest Park,Cook County,Illinois,IL,United States,us,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Oak Park-Lake,Oak Park-Lake Station Chicago,41.88698,-87.8011,"Oak Park Station, Oak Park, IL, United States of America",Oak Park Station,,,,Oak Park Township,,Oak Park,Cook County,Illinois,IL,United States,us,0,,CC BY 4.0,https://www.geonames.org/datasources/
Ridgeland,Ridgeland Station Chicago,41.7038204,-87.77979423796965,"Chicago Ridge Metra Station, South Ridgeland Avenue, Chicago Ridge, IL 60415, United States of America",Chicago Ridge Metra Station,,South Ridgeland Avenue,60415,,,Chicago Ridge,Cook County,Illinois,IL,United States,us,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Austin-Lake,Austin-Lake Station Chicago,41.88474855,-87.67705907328525,"Future Damen/Lake CTA Green Line station, Near West Side, Chicago, IL, United States of America",Future Damen/Lake CTA Green Line station,,,,,Near West Side,Chicago,Cook County,Illinois,IL,United States,us,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Central-Lake,Central-Lake Station Chicago,41.5711219,-87.2587828,"Lake Station-New Chicago Branch Library, 2007 Central Avenue, Lake Station, IN 46405, United States of America",Lake Station-New Chicago Branch Library,2007,Central Avenue,46405,,,Lake Station,Lake County,Indiana,IN,United States,us,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Laramie,Laramie Station Chicago,41.87600475,-87.75522127847681,"Chicago Post Office Milton R. Brunson Station, 324 South Laramie Avenue, Chicago, IL 60644, United States of America",Chicago Post Office Milton R. Brunson Station,324,South Laramie Avenue,60644,,Austin,Chicago,Cook County,Illinois,IL,United States,us,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Cicero-Lake,Cicero-Lake Station Chicago,41.88474855,-87.67705907328525,"Future Damen/Lake CTA Green Line station, Near West Side, Chicago, IL, United States of America",Future Damen/Lake CTA Green Line station,,,,,Near West Side,Chicago,Cook County,Illinois,IL,United States,us,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Pulaski-Lake,Pulaski-Lake Station Chicago,41.552592,-87.2674003,"Pulaski Street, Lake Station, IN 46432, United States of America",Pulaski Street,,Pulaski Street,46432,,,Lake Station,Lake County,Indiana,IN,United States,us,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Kedzie-Lake,Kedzie-Lake Station Chicago,41.85416,-87.705325,"Kedzie Pink Line Station, Lawndale, Chicago, IL, United States of America",Kedzie Pink Line Station,,,,Chicago,Lawndale,Chicago,Cook County,Illinois,IL,United States,us,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
California-Lake,California-Lake Station Chicago,41.88474855,-87.67705907328525,"Future Damen/Lake CTA Green Line station, Near West Side, Chicago, IL, United States of America",Future Damen/Lake CTA Green Line station,,,,,Near West Side,Chicago,Cook County,Illinois,IL,United States,us,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Ashland-Lake,Ashland-Lake Station Chicago,41.839045,-87.665368,"Ashland Orange Line Station, Bridgeport, Chicago, IL, United States of America",Ashland Orange Line Station,,,,Chicago,Bridgeport,Chicago,Cook County,Illinois,IL,United States,us,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Clinton-Lake,Clinton-Lake Station Chicago,40.1739685,-88.83096488841886,"Clinton Power Station, DeWitt County, IL, United States of America",Clinton Power Station,,,,,Clinton Power Station,,DeWitt County,Illinois,IL,United States,us,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
35-Bronzeville-IIT,35-Bronzeville-IIT Station Chicago,41.8312899,-87.6258603,"35th-Bronzeville-IIT, 16 East 35th Street, Chicago, IL 60616, United States of America",35th-Bronzeville-IIT,16,East 35th Street,60616,Bronzeville,Douglas,Chicago,Cook County,Illinois,IL,United States,us,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Indiana,Indiana Station Chicago,41.6211753,-87.4859132,"East Chicago Fire Station #5, Sophia Street, East Chicago, IN 46312, United States of America",East Chicago Fire Station #5,,Sophia Street,46312,Southside,,East Chicago,Lake County,Indiana,IN,United States,us,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
43rd,43rd Station Chicago,41.8166732,-87.6190899,"43rd Street Green Line Station, 314 East 43rd Street, Chicago, IL 60653, United States of America",43rd Street Green Line Station,314,East 43rd Street,60653,Forestville,Grand Boulevard,Chicago,Cook County,Illinois,IL,United States,us,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
47th-South Elevated,47th-South Elevated Station Chicago,38.589106,-90.336619,"47 South Laclede Station Road, Webster Groves, MO 63119, United States of America",,47,South Laclede Station Road,63119,Jefferson Township,,Webster Groves,St. Louis County,Missouri,MO,United States,us,0,© OpenAddresses contributors,BSD-3-Clause License,
51st,51st Station Chicago,41.8021442,-87.618499,"51st Green Line Station, East 51st Street, Chicago, IL 60653, United States of America",51st Green Line Station,,East 51st Street,60653,,Grand Boulevard,Chicago,Cook County,Illinois,IL,United States,us,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Garfield-South Elevated,Garfield-South Elevated Station Chicago,,,,,,,,,,,,,,,,,,,
King Drive,King Drive Station Chicago,41.7802309,-87.6156396,"King Drive, 400 East 63rd Street, Chicago, IL 60621, United States of America",King Drive,400,East 63rd Street,60621,,Washington Park,Chicago,Cook County,Illinois,IL,United States,us,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
East 63rd-Cottage Grove,East 63rd-Cottage Grove Station Chicago,41.7804151,-87.6059877,"Cottage Grove, 800 East 63rd Street, Chicago, IL 60637, United States of America",Cottage Grove,800,East 63rd Street,60637,,Woodlawn,Chicago,Cook County,Illinois,IL,United States,us,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Halsted/63rd,Halsted/63rd Station Chicago,41.77352,-87.59005,"Chicago Fire Department District 5 Station 63, Woodlawn, Chicago, IL, United States of America",Chicago Fire Department District 5 Station 63,,,,Chicago,Woodlawn,Chicago,Cook County,Illinois,IL,United States,us,0,,CC BY 4.0,https://www.geonames.org/datasources/
Ashland/63rd,Ashland/63rd Station Chicago,41.7789527,-87.663857,"Ashland/63rd, 6315 South Ashland Avenue, Chicago, IL 60636, United States of America",Ashland/63rd,6315,South Ashland Avenue,60636,Drexel Estate,West Englewood,Chicago,Cook County,Illinois,IL,United States,us,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Kimball,Kimball Station Chicago,41.9675504,-87.71365891651087,"Kimball Station Apartments, 4730 North Kimball Avenue, Chicago, IL 60625, United States of America",Kimball Station Apartments,4730,North Kimball Avenue,60625,Chicago,Albany Park,Chicago,Cook County,Illinois,IL,United States,us,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Kedzie-Brown,Kedzie-Brown Station Chicago,41.85416,-87.705325,"Kedzie Pink Line Station, Lawndale, Chicago, IL, United States of America",Kedzie Pink Line Station,,,,Chicago,Lawndale,Chicago,Cook County,Illinois,IL,United States,us,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Francisco,Francisco Station Chicago,41.9661531,-87.7017658,"Francisco, 4648 North Francisco Avenue, Chicago, IL 60625, United States of America",Francisco,4648,North Francisco Avenue,60625,,Albany Park,Chicago,Cook County,Illinois,IL,United States,us,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Rockwell,Rockwell Station Chicago,41.9662193,-87.6944936,"Rockwell, 4648 North Rockwell Street, Chicago, IL 60625, United States of America",Rockwell,4648,North Rockwell Street,60625,Ravenswood Gardens,Lincoln Square,Chicago,Cook County,Illinois,IL,United States,us,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Western-Brown,Western-Brown Station Chicago,41.9661392,-87.6885809,"Western Brown Line Station, 4639-4643 North Western Avenue, Chicago, IL 60625, United States of America",Western Brown Line Station,4639-4643,North Western Avenue,60625,West Ravenswood,Lincoln Square,Chicago,Cook County,Illinois,IL,United States,us,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Damen-Brown,Damen-Brown Station Chicago,41.85462775,-87.67612369799306,"Damen Pink Line Station, 2010 South Damen Avenue, Chicago, IL 60608, United States of America",Damen Pink Line Station,2010,South Damen Avenue,60608,Chicago,Lower West Side,Chicago,Cook County,Illinois,IL,United States,us,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Montrose-Brown,Montrose-Brown Station Chicago,41.9615765,-87.6751311,"Montrose Brown Line Station WB, West Montrose Avenue, Chicago, IL 60640, United States of America",Montrose Brown Line Station WB,,West Montrose Avenue,60640,Ravenswood Place,Lincoln Square,Chicago,Cook County,Illinois,IL,United States,us,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Irving Park-Brown,Irving Park-Brown Station Chicago,41.9543261,-87.6752046,"Irving Park Brown Line Station WB, West Irving Park Road, Chicago, IL 60613, United States of America",Irving Park Brown Line Station WB,,West Irving Park Road,60613,Cuyler,North Center,Chicago,Cook County,Illinois,IL,United States,us,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Addison-Brown,Addison-Brown Station Chicago,41.9468745,-87.6747408,"Addison Brown Line Station EB, West Addison Street, Chicago, IL 60657, United States of America",Addison Brown Line Station EB,,West Addison Street,60657,Roscoe Village,North Center,Chicago,Cook County,Illinois,IL,United States,us,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Paulina,Paulina Station Chicago,41.9436936,-87.6717045,"Paulina, 3410 North Lincoln Avenue, Chicago, IL 60657, United States of America",Paulina,3410,North Lincoln Avenue,60657,Chicago,Lake View,Chicago,Cook County,Illinois,IL,United States,us,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Southport,Southport Station Chicago,41.9438161,-87.6635881,"Southport, 3411 North Southport Avenue, Chicago, IL 60657, United States of America",Southport,3411,North Southport Avenue,60657,Wrigleyville,Lake View,Chicago,Cook County,Illinois,IL,United States,us,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Wellington,Wellington Station Chicago,41.9364321,-87.6532711,"Wellington, 941 West Wellington Avenue, Chicago, IL 60657, United States of America",Wellington,941,West Wellington Avenue,60657,,Lake View,Chicago,Cook County,Illinois,IL,United States,us,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Diversey,Diversey Station Chicago,41.9325859,-87.6532793,"Diversey Brown Line Station EB, West Diversey Parkway, Chicago, IL 60657, United States of America",Diversey Brown Line Station EB,,West Diversey Parkway,60657,Chicago,Lincoln Park,Chicago,Cook County,Illinois,IL,United States,us,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Armitage,Armitage Station Chicago,41.918094,-87.6525507,"Armitage Brown Line Station EB, West Armitage Avenue, Chicago, IL 60614, United States of America",Armitage Brown Line Station EB,,West Armitage Avenue,60614,Chicago,Lincoln Park,Chicago,Cook County,Illinois,IL,United States,us,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Sedgwick,Sedgwick Station Chicago,41.9104056,-87.6388065,"Sedgwick, 1536 North Sedgwick Street, Chicago, IL 60610, United States of America",Sedgwick,1536,North Sedgwick Street,60610,,Near North Side,Chicago,Cook County,Illinois,IL,United States,us,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Chicago/Franklin,Chicago/Franklin Station Chicago,41.8964706,-87.6357194,"Chicago, 300 West Chicago Avenue, Chicago, IL 60654, United States of America",Chicago,300,West Chicago Avenue,60654,River North,River North,Chicago,Cook County,Illinois,IL,United States,us,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Merchandise Mart,Merchandise Mart Station Chicago,41.8886631,-87.6339805,"Merchandise Mart, 350 North Wells Street, Chicago, IL 60654, United States of America",Merchandise Mart,350,North Wells Street,60654,River North,,Chicago,Cook County,Illinois,IL,United States,us,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Midway Airport,Midway Airport Station Chicago,41.7854316,-87.75084869357148,"Chicago Midway International Airport, 5700 South Cicero Avenue, Chicago, IL 60638, United States of America",Chicago Midway International Airport,5700,South Cicero Avenue,60638,,Clearing,Chicago,Cook County,Illinois,IL,United States,us,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Pulaski-Orange,Pulaski-Orange Station Chicago,41.8002889,-87.7244077,"Pulaski Orange Line Station, 4017-4021 West 51st Street, Chicago, IL 60632, United States of America",Pulaski Orange Line Station,4017-4021,West 51st Street,60632,,Archer Heights,Chicago,Cook County,Illinois,IL,United States,us,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Kedzie-Midway,Kedzie-Midway Station Chicago,41.85416,-87.705325,"Kedzie Pink Line Station, Lawndale, Chicago, IL, United States of America",Kedzie Pink Line Station,,,,Chicago,Lawndale,Chicago,Cook County,Illinois,IL,United States,us,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Western-Orange,Western-Orange Station Chicago,41.8050251,-87.6839918,"Western Orange Line Station, South Western Boulevard, Chicago, IL 60632, United States of America",Western Orange Line Station,,South Western Boulevard,60632,,New City,Chicago,Cook County,Illinois,IL,United States,us,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
35th/Archer,35th/Archer Station Chicago,41.8294155,-87.6807582,"35th/Archer, 3528 South Leavitt Street, Chicago, IL 60609, United States of America",35th/Archer,3528,South Leavitt Street,60609,Ducktown,McKinley Park,Chicago,Cook County,Illinois,IL,United States,us,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Ashland-Orange,Ashland-Orange Station Chicago,41.8390615,-87.6653825,"Ashland Orange Line Station, Adlai Stevenson Expressway, Chicago, IL 60608, United States of America",Ashland Orange Line Station,,Adlai Stevenson Expressway,60608,Canalport,Lower West Side,Chicago,Cook County,Illinois,IL,United States,us,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Halsted-Orange,Halsted-Orange Station Chicago,41.8468851,-87.6478159,"Halsted Orange Line Station, South Archer Avenue, Chicago, IL 60608, United States of America",Halsted Orange Line Station,,South Archer Avenue,60608,,Bridgeport,Chicago,Cook County,Illinois,IL,United States,us,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Washington/Wells,Washington/Wells Station Chicago,41.8824096,-87.6338517,"Washington/Wells, 100 North Wells Street, Chicago, IL 60606, United States of America",Washington/Wells,100,North Wells Street,60606,Chicago,Loop,Chicago,Cook County,Illinois,IL,United States,us,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Rockwell,Rockwell Station Chicago,41.9662193,-87.6944936,"Rockwell, 4648 North Rockwell Street, Chicago, IL 60625, United States of America",Rockwell,4648,North Rockwell Street,60625,Ravenswood Gardens,Lincoln Square,Chicago,Cook County,Illinois,IL,United States,us,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Quincy/Wells,Quincy/Wells Station Chicago,41.8787419,-87.6337584,"Quincy, 220 South Wells Street, Chicago, IL 60606, United States of America",Quincy,220,South Wells Street,60606,Printer's Row,Loop,Chicago,Cook County,Illinois,IL,United States,us,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
LaSalle/Van Buren,LaSalle/Van Buren Station Chicago,41.8768826,-87.6313905,"LaSalle/Van Buren, 121 West Van Buren Street, Chicago, IL 60605, United States of America",LaSalle/Van Buren,121,West Van Buren Street,60605,Printer's Row,Loop,Chicago,Cook County,Illinois,IL,United States,us,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Library,Library Station Chicago,42.31758645,-87.83282750492452,"Naval Station Great Lakes Library, 221 Mac Donough Street, North Chicago, IL 60088, United States of America",Naval Station Great Lakes Library,221,Mac Donough Street,60088,,,North Chicago,Lake County,Illinois,IL,United States,us,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Adams/Wabash,Adams/Wabash Station Chicago,41.8796269,-87.6261185,"Adams/Wabash, South Wabash Avenue, Chicago, IL 60603, United States of America",Adams/Wabash,,South Wabash Avenue,60603,Printer's Row,Loop,Chicago,Cook County,Illinois,IL,United States,us,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Madison/Wabash,Madison/Wabash Station Chicago,38.953401,-92.326069,"Wabash Station, Columbia, MO 65201, United States of America",,,Wabash Station,65201,Columbia Township,North Village Arts District,Columbia,Boone County,Missouri,MO,United States,us,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Randolph/Wabash,Randolph/Wabash Station Chicago,38.953401,-92.326069,"Wabash Station, Columbia, MO 65201, United States of America",,,Wabash Station,65201,Columbia Township,North Village Arts District,Columbia,Boone County,Missouri,MO,United States,us,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
State/Lake,State/Lake Station Chicago,41.8857605,-87.6279575,"State/Lake, West Lake Street, Chicago, IL 60602, United States of America",State/Lake,,West Lake Street,60602,Chicago,Loop,Chicago,Cook County,Illinois,IL,United States,us,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Clark/Lake,Clark/Lake Station Chicago,41.8857521,-87.6313842,"Clark/Lake, 100-124 West Lake Street, Chicago, IL 60601, United States of America",Clark/Lake,100-124,West Lake Street,60601,Chicago,Loop,Chicago,Cook County,Illinois,IL,United States,us,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
